,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP
4358,Yennsy Diaz,5.077476737275357,6.880000000000001,
4357,John King,5.082882484317501,5.359999999999999,
4356,Mike Wright Jr.,5.086249618357329,7.0600000000000005,
4355,Bailey Falter,5.0914599053845695,6.23,443.5
4354,Jared Hughes,5.0955900529420415,6.5,
4353,Taylor Widener,5.097849129592539,5.74,
4352,Ross Stripling,5.106036348497082,6.3500000000000005,274.4
4351,Chaz Roe,5.106104606212592,6.0,
4350,Matt Peacock,5.108004838179699,6.27,
4349,Oliver Ortega,5.114151299169027,5.43,
4348,Alex Colome,5.11470429088097,5.57,625.0
4347,Jake Reed,5.119297292311636,7.01,
4346,Kyle Barraclough,5.136980944000689,5.91,
4345,Phillips Valdez,5.137490030503579,6.08,
4344,Trent Thornton,5.139009280438307,5.84,
4343,Anthony Misiewicz,5.141780584337992,5.77,
4342,Austin Brice,5.142565175233457,7.4399999999999995,
4341,Alex Claudio,5.143146129392764,6.1899999999999995,
4340,Phil Maton,5.144221257318391,5.64,
4339,Corey Oswalt,5.144337816905336,4.93,
4338,Rony Garcia,5.144687248291105,6.24,"1,023.0"
4337,Oliver Drake,5.146330132113883,6.91,
4336,Tyler Zuber,5.152597873026706,6.87,
4335,T.J. McFarland,5.161770742504907,5.760000000000001,
4334,Duane Underwood Jr.,5.161895770274986,5.949999999999999,"1,046.0"
4333,Justin Garza,5.1634248496584885,6.28,
4332,Sergio Romo,5.1736474038377995,6.31,
4331,Ian Krol,5.178406409650978,6.0,
4330,Luke Weaver,5.195792312127051,6.470000000000001,
4329,Nick Vespi,5.197305118430425,5.51,
4328,Tyler Chatwood,5.200703159808361,7.1,
4327,Wade LeBlanc,5.200945347205115,5.83,
4326,Jeurys Familia,5.201691026950907,6.1899999999999995,824.0
4325,Brandon Kintzler,5.205154261388526,6.0,
4324,Kirby Snead,5.215936479867473,6.99,
4323,Gabe Klobosits,5.219248225186291,7.1499999999999995,
4322,Daniel Norris,5.219647637470217,6.6,
