Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Willi Castro,2B,228.4243615,258,978,0.371431002,0.331725885,0.402646503,0.346341463,0.017182483,39,193
Jon Berti,2B,244.020531,232,291.8,0.430861838,0.365668314,0.353497164,0.304065041,0.016934711,32,194
Carson Kelly,C,207.8,219,515.6,0.511645963,0.286840444,0.397129187,0.282926829,0.016489819,20,195
Yan Gomes,C,214,211,493,0.535714286,0.300333697,0.377990431,0.269918699,0.016415385,17,196
Tyrone Taylor,OF,258.8360141,228,431.1,0.453558144,0.397911711,0.305555556,0.297560976,0.016409141,72,197
Paul DeJong,SS,267.3761801,211,959,0.488634043,0.41649794,0.298214286,0.269918699,0.016381663,27,198
Miguel Sano,1B,278.1096244,250,858.5,0.31534151,0.439857469,0.35125448,0.333333333,0.016240288,34,199
Garrett Cooper,OF,269.0249743,215,345.2,0.489376349,0.420086263,0.282986111,0.276422764,0.016081271,62,200
Lane Thomas,OF,257.1791818,223,266.1,0.447733727,0.394305896,0.296875,0.289430894,0.015169511,75,201
Chas McCormick,OF,254.8328132,224,418,0.439485318,0.389199421,0.298611111,0.291056911,0.014866216,79,202
Elias Diaz,C,201.4,218,362.4,0.486801242,0.272911925,0.394736842,0.281300813,0.014752066,24,203
David Fletcher,2B,234.7070176,232,583.8,0.39537172,0.345399025,0.353497164,0.304065041,0.014678414,37,204
Kole Calhoun,OF,245.776629,232,968.3,0.407649266,0.369490165,0.3125,0.304065041,0.014312189,83,205
Julio Rodriguez,OF,262.3473036,212,5,0.465901709,0.40555344,0.277777778,0.271544715,0.014252178,70,206
Jacob Stallings,C,216.8,196,554.6,0.546583851,0.306427425,0.342105263,0.245528455,0.014068442,14,207
Dominic Smith,1B,288.3686939,221,412.3,0.348521068,0.462184602,0.299283154,0.286178862,0.013796354,31,208
Yadier Molina,C,205.6,207,,0.50310559,0.282052516,0.368421053,0.263414634,0.013771253,22,209
Ben Gamel,OF,263.3814547,208,951,0.469537157,0.407804095,0.270833333,0.26504065,0.013744728,69,210
